City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
263,Aksarka,RU,66.5606,67.7975,47.19,91,100,11.9,light rain
264,Barentu,ER,15.1139,37.5928,71.11,85,81,5.08,broken clouds
265,Chokurdakh,RU,70.6333,147.9167,38.03,77,100,11.86,overcast clouds
266,Najran,SA,17.4924,44.1277,84.85,45,91,7.38,overcast clouds
267,Ayorou,NE,14.7308,0.9174,86.65,55,100,10.58,overcast clouds
268,Nalut,LY,30.3333,10.85,85.46,19,0,16.46,clear sky
269,Te Anau,NZ,-45.4167,167.7167,45.59,88,15,2.95,few clouds
270,Touros,BR,-5.1989,-35.4608,77.38,82,0,13.33,clear sky
271,Hambantota,LK,6.1241,81.1185,79.14,89,99,3.44,overcast clouds
272,Ambon,ID,-3.6954,128.1814,77.14,100,40,5.75,scattered clouds
273,Quatre Cocos,MU,-20.2078,57.7625,68.09,86,94,15.1,moderate rain
274,Jiuquan,CN,39.7432,98.5174,70.77,31,19,1.99,few clouds
275,Abu Dhabi,AE,24.4667,54.3667,94.26,62,58,3.65,broken clouds
276,Cabedelo,BR,-6.9811,-34.8339,76.23,84,7,10.85,clear sky
277,Kaitangata,NZ,-46.2817,169.8464,48.92,69,78,3.94,broken clouds
278,Bonthe,SL,7.5264,-12.505,77.27,85,100,10.96,light rain
279,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,83,0,5.75,clear sky
280,Katangli,RU,51.7102,143.2326,65.3,95,100,4.05,overcast clouds
281,Kaffrine,SN,14.1059,-15.5508,82.74,65,100,14.7,overcast clouds
282,Tazmalt,DZ,36.3868,4.3989,83.48,38,0,2.62,clear sky
283,Yulara,AU,-25.2406,130.9889,61.2,60,20,6.89,few clouds
284,Hobyo,SO,5.3505,48.5268,78.13,68,98,20.89,overcast clouds
285,Dimitrovgrad,RU,54.2139,49.6184,59.02,83,15,5.57,few clouds
286,Port-Gentil,GA,-0.7193,8.7815,76.05,80,72,11.86,broken clouds
287,Gladstone,AU,-23.85,151.25,59.79,82,40,5.75,scattered clouds
288,Dayong,CN,25.0209,118.2898,79.93,92,19,2.04,light rain
289,Bathsheba,BB,13.2167,-59.5167,83.01,69,20,18.41,few clouds
290,Pinheiro,BR,-2.5214,-45.0825,77.38,80,74,3.76,broken clouds
291,Senekal,ZA,-28.3197,27.6208,39.04,47,0,2.26,clear sky
292,Niort,FR,46.3333,-0.3333,65.39,90,93,1.99,overcast clouds
293,Buraydah,SA,26.326,43.975,93.9,15,2,10.31,clear sky
294,Torbay,CA,47.6666,-52.7314,67.28,95,90,16.11,light rain
295,Bilibino,RU,68.0546,166.4372,40.89,87,100,2.35,overcast clouds
296,Saint Anthony,US,45.0205,-93.218,96.35,55,40,1.01,scattered clouds
297,Saint George,US,37.1041,-113.5841,97.63,29,1,1.01,clear sky
298,Srednekolymsk,RU,67.45,153.6833,38.55,94,100,10.63,overcast clouds
299,Kudahuvadhoo,MV,2.6708,72.8944,80.35,77,99,9.06,moderate rain
300,Rocha,UY,-34.4833,-54.3333,43.27,70,21,18.23,few clouds
301,Port Macquarie,AU,-31.4333,152.9167,53.2,63,7,8.28,clear sky
302,Esperance,AU,-33.8667,121.9,44.44,81,33,14.99,scattered clouds
303,Katherine,AU,-14.4667,132.2667,59.32,82,32,4.61,scattered clouds
304,Romitan,UZ,39.9343,64.3814,82.35,21,0,18.41,clear sky
305,Tocopilla,CL,-22.092,-70.1979,62.44,68,18,10.38,few clouds
306,Nizwa,OM,22.9333,57.5333,95.36,34,100,5.01,overcast clouds
307,Trairi,BR,-3.2778,-39.2689,77.65,79,21,10.8,few clouds
308,Smithers,CA,54.7804,-127.1743,66.69,40,85,3.4,overcast clouds
309,Vestmannaeyjar,IS,63.4427,-20.2734,54.01,84,38,11.32,scattered clouds
310,Saldanha,ZA,-33.0117,17.9442,55.45,76,100,8.79,overcast clouds
311,Aitape,PG,-3.1374,142.3475,79.52,84,54,4.07,broken clouds
312,Kaeo,NZ,-35.1,173.7833,56.32,91,36,5.75,scattered clouds
313,Comodoro Rivadavia,AR,-45.8667,-67.5,48.06,76,0,0.0,clear sky
314,Mandera,KE,3.9366,41.867,78.39,57,100,21.92,overcast clouds
315,Provins,FR,48.5833,3.1667,63.91,96,88,8.16,overcast clouds
316,Rabo De Peixe,PT,37.8,-25.5833,67.51,83,20,21.85,few clouds
317,Ibra,OM,22.6906,58.5334,89.53,46,100,7.94,overcast clouds
318,Xuddur,SO,4.1213,43.8894,72.01,69,100,20.11,overcast clouds
319,Mehamn,NO,71.0357,27.8492,46.13,91,44,7.2,scattered clouds
320,Nanortalik,GL,60.1432,-45.2371,46.65,76,55,4.52,broken clouds
321,Santa Isabel Do Rio Negro,BR,-0.4139,-65.0192,78.21,85,100,2.71,moderate rain
322,Flin Flon,CA,54.7682,-101.865,64.62,73,99,2.77,overcast clouds
323,Huarmey,PE,-10.0681,-78.1522,68.11,77,18,10.98,few clouds
324,Flinders,AU,-34.5833,150.8552,59.38,61,92,4.0,overcast clouds
325,Saint-Pierre,RE,-21.3393,55.4781,67.68,83,75,10.36,broken clouds
326,Panaba,MX,21.2833,-88.2667,88.41,54,89,11.9,overcast clouds
327,Susehri,TR,40.1644,38.0867,62.62,82,54,5.57,broken clouds
328,Sandnessjoen,NO,66.0217,12.6316,67.98,63,26,14.58,scattered clouds
329,Zachepylivka,UA,49.1939,35.2394,69.48,50,3,7.56,clear sky
330,High Prairie,CA,55.4334,-116.4858,75.31,26,12,12.06,few clouds
331,La Ronge,CA,55.1001,-105.2842,73.29,49,41,10.67,scattered clouds
332,La Reforma,MX,25.0833,-108.05,97.25,60,73,13.04,broken clouds
333,Tura,IN,25.5198,90.2201,74.35,97,99,3.18,overcast clouds
334,Mardin,TR,37.3131,40.7436,80.02,31,0,13.6,clear sky
335,Ketchikan,US,55.3422,-131.6461,62.31,72,65,4.9,light rain
336,Havre-Saint-Pierre,CA,50.2334,-63.5986,58.57,93,97,13.8,overcast clouds
337,Naze,JP,28.3667,129.4833,77.92,87,100,11.83,overcast clouds
338,Quelimane,MZ,-17.8786,36.8883,63.43,90,29,4.41,light rain
339,Joura,IN,26.3411,77.8115,77.2,94,100,12.68,overcast clouds
340,Maunabo,PR,18.0072,-65.8993,85.64,78,56,14.16,broken clouds
341,Bouca,CF,6.5105,18.2733,69.26,99,100,3.94,overcast clouds
342,Qianan,CN,44.9932,124.0581,75.61,76,95,4.25,overcast clouds
343,Shakawe,BW,-18.3667,21.85,50.79,41,0,4.65,clear sky
344,Tongliao,CN,43.6125,122.2653,73.81,82,100,2.75,overcast clouds
345,Airai,TL,-8.9266,125.4092,56.52,67,55,2.98,broken clouds
346,Singaraja,ID,-8.112,115.0882,75.04,75,39,4.18,scattered clouds
